Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,"Congo, Rep.",COG,..,5.7,14.7,16.1,17.9,19.8,22,24.2,26.9,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Costa Rica,CRI,..,18,13.7,13.4,13.1,12.7,12.4,12.1,11.9,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Croatia,HRV,..,33.1,35.3,35.6,35.7,36.1,36.4,36.7,37,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Cuba,CUB,..,45.7,38.4,37.7,37.2,36.5,36.1,35.9,35.2,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Cyprus,CYP,..,42.4,38.3,38,37.5,37.3,36.9,36.7,36.4,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Czech Republic,CZE,..,34.1,34.3,34.2,34.3,34.3,34.2,34.3,34.3,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Denmark,DNK,..,38.3,24.7,23.6,22.5,21.7,20.7,19.9,19.1,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Djibouti,DJI,..,17.6,14.5,14.3,14,13.7,13.6,13.3,13.1,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Dominican Republic,DOM,..,18.7,15.2,14.9,14.6,14.4,14.1,13.9,13.7,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Ecuador,ECU,..,13.9,9,8.7,8.4,8,7.7,7.4,7.1,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,"Egypt, Arab Rep.",EGY,..,17.6,21.8,22.2,22.6,23.3,24,24.6,25.2,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,El Salvador,SLV,..,16,11.6,11.3,11,10.7,10.3,10.1,9.9,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Eritrea,ERI,..,8.7,6.7,6.5,6.4,6.3,6.1,5.9,5.7,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Estonia,EST,..,39.6,34.2,33.6,33.2,32.7,32.3,31.8,31.3,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Eswatini,SWZ,..,9.3,9,9,9,9,9,9,9,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Ethiopia,ETH,..,4.8,4.5,4.4,4.5,4.4,4.4,4.4,4.4,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Fiji,FJI,..,35.1,26.7,25.8,25.2,24.4,23.8,23.2,22.6,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Finland,FIN,..,29.7,23.5,22.9,22.4,21.9,21.3,20.9,20.4,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,France,FRA,..,34.9,33.4,33.3,33.1,33,32.9,32.8,32.7,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,"Gambia, The",GMB,..,19.9,16.9,16.6,16.4,16.1,16,15.8,15.5,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Georgia,GEO,..,32.2,29.8,29.5,29.4,29.2,28.9,28.8,28.8,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Germany,DEU,..,35.3,32.2,32,31.7,31.4,31.1,30.9,30.6,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Ghana,GHA,..,5.9,4.4,4.3,4.3,4.1,4.1,4,3.9,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Greece,GRC,..,53.5,46.6,46.1,45.3,44.9,44.4,43.8,43.4,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Guatemala,GTM,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Haiti,HTI,..,12.1,12.3,12.3,12.4,12.5,12.6,12.7,12.7,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Honduras,HND,..,3.9,2.5,2.4,2.4,2.3,2.2,2.1,2,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Hungary,HUN,..,41.1,34.1,33.4,32.9,32.3,31.7,31.1,30.6,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Iceland,ISL,..,30.1,19.1,18.4,17.6,16.8,16.1,15.4,14.7,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,India,IND,..,21.2,14.3,13.7,13.3,12.8,12.3,11.9,11.5,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Indonesia,IDN,..,32.9,37.1,37.3,37.6,38,38.5,39,39.4,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,"Iran, Islamic Rep.",IRN,..,17.5,12.8,12.5,12.1,11.8,11.5,11.3,11,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Ireland,IRL,..,37.8,28.7,27.9,27.1,26.4,25.7,25,24.3,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Israel,ISR,..,31.9,27.4,27,26.6,26.2,25.9,25.6,25.2,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Italy,ITA,..,26.5,24.6,24.6,24.3,24.1,24.1,23.8,23.7,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Jamaica,JAM,..,18.4,17.1,17.1,17,17,16.9,16.8,16.8,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Japan,JPN,..,33,25.6,24.9,24.4,23.8,23.2,22.6,22.1,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Jordan,JOR,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Kazakhstan,KAZ,..,31.9,26.8,26.4,25.8,25.4,25,24.5,24,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Kenya,KEN,..,16.6,12.5,12.3,11.9,11.6,11.3,11,10.7,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Kiribati,KIR,..,73.4,55.7,54.5,52.7,51.2,49.8,48.3,47,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,"Korea, Rep.",KOR,..,34.3,26.9,26.2,25.6,25,24.5,23.9,23.3,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Kuwait,KWT,..,24.8,22.8,22.6,22.5,22.5,22.5,22.5,22.5,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Kyrgyz Republic,KGZ,..,27.3,26.6,26.6,26.7,26.5,26.6,26.5,26.5,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Lao PDR,LAO,..,42.7,33.1,32.3,31.5,31.1,30.2,29.5,28.9,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Latvia,LVA,..,38.8,37.5,37.5,37.3,37.3,37.3,37,37,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Lebanon,LBN,..,37.5,35.1,34.7,34.8,34.2,34.2,33.9,33.8,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Lesotho,LSO,..,17.6,22.7,23.3,24,24.4,25.3,26,26.7,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Liberia,LBR,..,13.8,10.8,10.7,10.5,10.3,10.1,9.9,9.8,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Lithuania,LTU,..,35.9,31.1,30.7,30.3,29.9,29.6,29.2,28.8,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Luxembourg,LUX,..,34.7,27,26.4,25.8,25.2,24.6,24.1,23.5,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Madagascar,MDG,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Malawi,MWI,..,21,16.5,16.1,15.7,15.3,15.2,14.7,14.5,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Malaysia,MYS,..,28.2,23.7,23.3,22.9,22.5,22,21.8,21.5,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Maldives,MDV,..,37.1,30.8,30.2,29.9,29.5,29.1,28.7,28.3,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Mali,MLI,..,13,12.5,12.4,12.3,12.3,12.4,12.3,12.3,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Malta,MLT,..,35.3,28.7,28.1,27.7,27,26.5,26,25.5,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Mauritania,MRT,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Mauritius,MUS,..,25,22.6,22.6,22.4,22.2,22,21.8,21.6,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Mexico,MEX,..,24,17.1,16.6,16,15.5,15,14.5,14,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Moldova,MDA,..,23.3,23.9,24,24,24.2,24.2,24.2,24.2,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Mongolia,MNG,..,32.2,27.8,27.4,27,26.6,26.3,26.2,25.6,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Montenegro,MNE,..,52.7,48.3,47.8,47.4,47,46.7,46.1,45.9,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Morocco,MAR,..,18.7,20.6,21,21.4,21.9,22.3,22.9,23.4,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Mozambique,MOZ,..,23.4,18.7,18.3,17.9,17.5,17.1,16.9,16.6,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Myanmar,MMR,..,32.5,23.9,23.2,22.6,21.9,21.4,20.8,20.3,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Namibia,NAM,..,22.3,21.5,21.5,21.4,21.4,21.4,21.5,21.4,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Nauru,NRU,..,63.8,47.2,45.9,44.6,43.3,42.2,41,40,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Nepal,NPL,..,38.9,27.1,26.2,25.3,24.6,24,23.3,22.8,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Netherlands,NLD,..,37.7,29.7,28.9,28.4,27.7,27,26.4,25.8,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,New Zealand,NZL,..,29.4,20,19.2,18.5,17.8,17.2,16.5,16,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Nicaragua,NIC,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Niger,NER,..,6.4,7.1,7.2,7.3,7.4,7.5,7.6,7.7,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Nigeria,NGA,..,7.7,6.3,6.2,6.1,6.1,5.9,5.8,5.8,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,North Macedonia,MKD,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Norway,NOR,..,43.1,26.9,25.5,24.4,23.3,22.2,21.2,20.2,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Oman,OMN,..,8.2,9.4,9.8,10.2,10.6,10.8,11.1,11.1,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Pakistan,PAK,..,24.5,21.3,21.1,20.9,20.7,20.5,20.3,20.1,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Palau,PLW,..,29.6,19.7,19,18.2,17.5,16.8,16.1,15.6,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Panama,PAN,..,15,8.5,8.1,7.6,7.2,6.8,6.5,6.1,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Papua New Guinea,PNG,..,60.9,44.2,42.6,41.2,39.8,38.8,37.4,36.3,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Paraguay,PRY,..,30.8,18.3,17.3,16.5,15.6,14.9,14.1,13.4,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Peru,PER,..,12.1,6.7,6.3,6,5.7,5.4,5,4.8,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Philippines,PHL,..,34.4,27.6,27,26.5,25.9,25.3,24.7,24.3,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Poland,POL,..,40.7,31.9,31.3,30.6,30,29.2,28.6,28,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Portugal,PRT,..,25.9,23.7,23.5,23.3,23.1,23,22.9,22.7,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Qatar,QAT,..,16.5,20.1,20.3,20.2,20.3,20.4,20.4,20.6,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Romania,ROU,..,39.6,32.8,32.3,31.7,31.1,30.6,30.1,29.7,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Russian Federation,RUS,..,42.8,40.3,40.2,40.1,39.8,39.7,39.5,39.3,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Rwanda,RWA,..,17.8,13.9,13.7,13.3,13.1,12.8,12.5,12.3,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Samoa,WSM,..,45.1,33,32,31,30.2,29.4,28.5,27.7,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Saudi Arabia,SAU,..,14.5,15.1,15.3,15.2,15.3,15.5,15.6,15.6,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Senegal,SEN,..,10.9,9,8.8,8.7,8.5,8.4,8.3,8.2,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Serbia,SRB,..,48.7,42.1,41.7,40.9,40.4,40,39.4,38.9,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Seychelles,SYC,..,25.1,22.9,22.7,22.5,22.3,21.9,21.7,21.5,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Sierra Leone,SLE,..,42.2,29.4,28.6,27.6,26.9,26.3,25.4,24.8,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Singapore,SGP,..,16.3,16.4,16.4,16.3,16.5,16.5,16.5,16.5,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Slovak Republic,SVK,..,32.1,30.4,30.4,30.3,30.1,30.1,30.1,30.1,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Slovenia,SVN,..,26.8,24,23.9,23.5,23.3,23,22.8,22.5,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Solomon Islands,SLB,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,South Africa,ZAF,..,22.7,21,20.9,20.8,20.6,20.5,20.5,20.3,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Spain,ESP,..,39.5,32.7,32.1,31.5,30.9,30.4,29.7,29.3,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,Sri Lanka,LKA,..,16.5,14,13.8,13.6,13.5,13.2,13.2,13,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..,..,..
